userid,placeid,time,timeoffset,lng,lat,spot_categ,cross_city_mode
13268,4ada934ff964a5209a2321e3,Tue Apr 03 22:43:56 +0000 2012,-240,-76.73390899999998,38.945017,Brewery,Washington_Washington
13268,4a662b6cf964a5202ac81fe3,Fri Apr 06 16:13:20 +0000 2012,-240,-77.01633299999997,38.882982,Government Building,Washington_Washington
13268,4a662b6cf964a5202ac81fe3,Mon Apr 09 15:55:07 +0000 2012,-240,-77.01633299999997,38.882982,Government Building,Washington_Washington
13268,4a662b6cf964a5202ac81fe3,Wed Apr 11 16:49:35 +0000 2012,-240,-77.01633299999997,38.882982,Government Building,Washington_Washington
13268,4a662b6cf964a5202ac81fe3,Thu Apr 12 12:48:27 +0000 2012,-240,-77.01633299999997,38.882982,Government Building,Washington_Washington
13268,4ada934ff964a5209a2321e3,Fri Apr 13 21:22:21 +0000 2012,-240,-76.73390899999998,38.945017,Brewery,Washington_Washington
13268,4a662b6cf964a5202ac81fe3,Wed Apr 18 12:50:48 +0000 2012,-240,-77.01633299999997,38.882982,Government Building,Washington_Washington
13268,41366280f964a520c41a1fe3,Thu Apr 19 21:09:16 +0000 2012,-240,-77.02195999999998,38.90018900000001,Bar,Washington_Washington
13268,446d8fa5f964a52067331fe3,Thu Apr 19 23:40:06 +0000 2012,-240,-77.02099399999999,38.89798,Basketball Stadium,Washington_Washington
13268,4a662b6cf964a5202ac81fe3,Fri Apr 20 19:09:18 +0000 2012,-240,-77.01633299999997,38.882982,Government Building,Washington_Washington
13268,4b204668f964a520d02f24e3,Mon Apr 23 12:16:31 +0000 2012,-240,-76.87133799999998,38.947394,Subway,Washington_Washington
13268,4a662b6cf964a5202ac81fe3,Mon Apr 23 15:04:13 +0000 2012,-240,-77.01633299999997,38.882982,Government Building,Washington_Washington
13268,4a662b6cf964a5202ac81fe3,Tue Apr 24 12:26:52 +0000 2012,-240,-77.01633299999997,38.882982,Government Building,Washington_Washington
13268,4b204668f964a520d02f24e3,Fri Apr 27 12:18:57 +0000 2012,-240,-76.87133799999998,38.947394,Subway,Washington_Washington
13268,4a662b6cf964a5202ac81fe3,Fri Apr 27 13:39:22 +0000 2012,-240,-77.01633299999997,38.882982,Government Building,Washington_Washington
